	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:51:41 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
           32768    2048  1825732  4168883  6091664  4951183  6123964  4110409  6308936   6749178   9333204  3753029  3846942  6330731  6452894
           32768    4096  1789830  4169516  5446835  5025593  6228594  4218402  6182643   6046906   9084587  3738939  3905535  6060237  6003587
           32768    8192  1690811  4102189  5527671  4883453  6100858  4054987  5956750   5035905   6819503  3747503  3760834  5448563  5990503
           32768   16384  1673374  3711877  4389505  4595267  5217720  3780385  5214354   4059059   5241199  3007890  4174835  4890055  5060007
           65536      64  1651614  4623697  7293937  5725691  7009186  4410267  7071941   8725228   7247015  4265852  4272549  7529497  7560562
           65536     128  1780057  3341988  7295486  5649669  7234998  4526914  7425358   8717204   7437211  4213992  4237966  7590417  7538997
           65536     256  1835127  4598404  7460829  5912649  7649775  4702239  7327184   8945575   7500119  4100586  2852886  5339840  7043851
           65536     512  1759547  4478019  6465006  5243279  6589930  4292632  6704370   7924566   6766091  3806234  3916822  6768757  6750637
           65536    1024  1780472  4182827  6244556  5074374  6390606  4255088  6441524   6963023   6373861  3647782  3702218  6226168  6264765
           65536    2048  1815048  4231963  6159893  4999706  6068640  4089361  4150992   6806805   6342389  3657392  2564188  6329537  6352796
           65536    4096  1812643  4105485  6037450  5061014  6197810  4164198  6288845   6479789   9136464  3457070  2712357  3994400  6217718
           65536    8192  1697869  3977408  5506279  4891779  5873860  4006335  5352525   5293666   7356008  3286487  3286644  5669712  6178030
           65536   16384  1693705  3543848  4490969  4557462  5138019  3674602  3567720   4025285   5348151  3205131  3141863  4734963  5003529
          131072      64  1386155  4527242  7176143  5632178  6863128  4381613  6987520   8463405   6931750  3956648  4114790  6559173  7340569
          131072     128  1785160  4278894  7274037  5649657  6953054  4324944  6996057   8731715   7208890  4231957  4154028  7437997  7437091
          131072     256  1800884  4533477  7049524  5610966  7091902  4415716  7227181   8848503   7154198  4035592  4052190  7416023  7367721
          131072     512  1795896  4287169  6501615  4116454  6487421  4304760  6617121   8161360   6603450  3817117  3732654  6638937  6662188
          131072    1024  1787743  4239757  6176559  5009447  6132874  4077042  6162642   7088884   6236183  3597623  3611995  6111670  6321953
          131072    2048  1764708  4144164  6126313  4984286  6144115  4156949  6283440   7046181   6123447  3590410  3587762  6206053  6286457
          131072    4096  1763548  4155096  6158569  5027129  6284948  4148636  6232012   6788549   6373847  3563946  3489564  5914799  6216368
          131072    8192  1714526  3925010  5744766  4935290  5990987  4069437  5933504   5493393   7510447  3351376  3169903  5894821  6168727
          131072   16384  1685164  3547182  4607878  4284096  5238473  3780890  4553642   3932900   5409289  2941604  2906964  4759716  5133020
          262144      64  1370759  4102413  7466170  5751191  6919658  3871399  7032697   8775887   6519379  3892093  3748610  7648946  7500959
          262144     128  1668622  4073912  7523800  5769782  7275135  4007451  7273932   8727404   6285085  3742829  3838181  7676020  7698323
          262144     256  1562017  4157717  7440101  5819868  7319595  4088789  7466779   8963399   7554610  3708417  3698052  7498605  7598570
          262144     512  1588520  3941356  6139374  5302050  6663916  3952421  6704796   8606757   6737707  3420902  3487393  6818304  6853579
          262144    1024  1653165  3805423  6139785  4981075  6190985  3731207  6277693   6455305   6121429  3257138  3322271  6287349  6333964
          262144    2048  1609440  3802830  6224350  5071248  6242124  3757898  6299128   7024789   6336117  3312831  3278397  6328022  6321001
          262144    4096  1626535  3783776  6270175  5100371  6283864  3831280  6383164   6842192   6268566  3234668  3237706  6356851  6383461
          262144    8192  1618633  3711935  5945658  4973324  6154770  3781043  6148540   5890899   6186283  2883459  2921088  6024628  6269317
          262144   16384  1591587  3363019  4817394  4321167  5308603  3287199  5014514   4167234   5519392  2638833  2567447  5024046  5438097
          524288      64  1330896  3876981  7635794  5893264  7099078  3576049  7153998   8642471   7340407  3645929  3631329  7782340  7805294
          524288     128  1535191  1468655  7777028  5911006  7457126  3399415  7489636   8807126   7622005  2816286  3559005  7945200  7171519
          524288     256  1545934  3916484  7739148  5764893  7499137  2142863  7671864   9074505   7782918  3556035  3533249  7912096  7303157
          524288     512  1535277  3700689  6795439  5420401  6758555  3546418  6860974   7967654   6866265  3282977  3314943  7110049  7019246
          524288    1024  1561924  3675681  6444613  5158892  6393832  3623448  6532622   7047365   6635459  3222541  3198282  6464638  6499086
          524288    2048  1539600  3647906  6393144  5095169  6383957  3498733  6501431   6977397   6532215  3229944  3234267  6539947  6546157
          524288    4096  1541651  3660439  6416987  5022919  6315732  3564549  6513389   6345383   6570430  3162916  3049959  6523920  6533185
          524288    8192  1503994  3530413  6278747  5110824  6274913  3558694  6081944   5505888   6115433  2872873  2748631  6326871  6419909
          524288   16384  1451879  3297183  5060055  4357048  5390188  3223056  5356706   4343433   5602138  2531398  2526155  5268007  5535604

iozone test complete.
